Service #4 |  MBTA Stoughton #903 (Boston - Stoughton) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_004
Service #66 |  MBTA Providence #833 (Boston - Providence) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_066
Service #66 | DUPLICATE | MBTA Providence #833 (Boston - Providence) 20:28 01:14
Service #67 |  MBTA Needham #626 (Overnight Storage) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_067
Service #67 | DUPLICATE | MBTA Needham #626 (Overnight Storage) 20:45 00:09
Service #68 |  MBTA Franklin #727 (Boston - Readville) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_068
Service #68 | DUPLICATE | MBTA Franklin #727 (Boston - Readville) 20:58 00:21
Service #69 |  MBTA Stoughton #924 (Overnight Storage) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_069
Service #69 | DUPLICATE | MBTA Stoughton #924 (Overnight Storage) 21:28 00:09
Service #70 |  MBTA Stoughton #925 (Boston - Stoughton) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_070
Service #70 | DUPLICATE | MBTA Stoughton #925 (Boston - Stoughton) 21:38 00:39
Service #71 |  MBTA Providence #835 (Boston - Providence) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_071
Service #71 | DUPLICATE | MBTA Providence #835 (Boston - Providence) 21:59 01:12
Service #72 |  MBTA Needham #628 (Boston - Depot) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_072
Service #72 | DUPLICATE | MBTA Needham #628 (Boston - Depot) 22:36 00:09
Service #73 |  MBTA Stoughton #927 (Boston - Stoughton) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_073
Service #73 | DUPLICATE | MBTA Stoughton #927 (Boston - Stoughton) 22:38 00:39
Service #74 |  MBTA Franklin #729 (Boston - Readville) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_074
Service #74 | DUPLICATE | MBTA Franklin #729 (Boston - Readville) 22:45 00:23
Service #75 |  MBTA Providence #836 (Overnight Storage) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_075
Service #75 | DUPLICATE | MBTA Providence #836 (Overnight Storage) 23:03 00:08
Service #76 |  MBTA Providence #838 (Overnight Storage) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_076
Service #76 | DUPLICATE | MBTA Providence #838 (Overnight Storage) 23:44 00:08
Service #76 |  MBTA Providence #838 (Overnight Storage) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_076
Service #76 | DUPLICATE | MBTA Providence #838 (Overnight Storage) 23:44 00:08
Service #77 |  MBTA Franklin #730 (Overnight Storage) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_2\bot\screenshots\Boston Sprinter\Boston - Providence HSP-46 Timetable\F40PH-3C MBTA\train_02\service_077
Service #77 | DUPLICATE | MBTA Franklin #730 (Overnight Storage) 23:48 00:08
