Service #1 | MT537EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_001
Service #26 | MT756EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_026
Service #26 | DUPLICATE | MT756EQ Boston South Station - Southampton Street Yard 09:22 00:09
Service #27 | MT608EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_027
Service #27 | DUPLICATE | MT608EQ Boston South Station - Southampton Street Yard 09:42 00:10
Service #28 |  Geometry Extra Boston, MA - Worcester, MA | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_028
Service #28 | DUPLICATE | Geometry Extra Boston, MA - Worcester, MA 09:54 00:00
Service #29 | P511 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_029
Service #29 | DUPLICATE | P511 Boston South Station to Worcester 10:13 01:31
Service #30 | MT710EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_030
Service #30 | DUPLICATE | MT710EQ Boston South Station - Southampton Street Yard 10:32 00:10
Service #31 | MT512EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_031
Service #31 | DUPLICATE | MT512EQ Boston South Station - Southampton Street Yard 10:37 00:08
Service #32 | MT910EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_032
Service #32 | DUPLICATE | MT910EQ Boston South Station - Southampton Street Yard 11:27 00:10
Service #33 | P513 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_033
Service #33 | DUPLICATE | P513 Boston South Station to Worcester 11:53 01:31
Service #34 | MT514EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_034
Service #34 | DUPLICATE | MT514EQ Boston South Station - Southampton Street Yard 12:17 00:05
Service #35 |  Geometry Extra Boston South Station - Southampton Street | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_035
Service #35 | DUPLICATE | Geometry Extra Boston South Station - Southampton Street Yard 12:41 00:10
Service #36 | MT714EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_036
Service #36 | DUPLICATE | MT714EQ Boston South Station - Southampton Street Yard 13:46 00:10
Service #37 | MT516EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_037
Service #37 | DUPLICATE | MT516EQ Boston South Station - Southampton Street Yard 13:47 00:06
Service #38 | P515 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_038
Service #38 | DUPLICATE | P515 Boston South Station to Worcester 13:53 01:31
Service #39 | P517 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_039
Service #39 | DUPLICATE | P517 Boston South Station to Worcester 15:28 01:35
Service #40 | P519 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_040
Service #40 | DUPLICATE | P519 Boston South Station to Worcester 16:18 01:26
Service #41 | P591 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_041
Service #41 | DUPLICATE | P591 Boston South Station to Framingham 16:28 00:54
Service #42 | P521 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_042
Service #42 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26
Service #42 | P521 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_042
Service #42 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26
Service #42 | P521 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_042
Service #42 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26
Service #43 | P593 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_043
Service #43 | DUPLICATE | P593 Boston South Station to Framingham 17:08 00:58
Service #44 | P523 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_044
Service #44 | DUPLICATE | P523 Boston South Station to Worcester 17:38 01:25
Service #45 | P595 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_045
Service #45 | DUPLICATE | P595 Boston South Station to Framingham 17:48 00:55
Service #46 | P525 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_046
Service #46 | DUPLICATE | P525 Boston South Station to Worcester 18:13 01:30
Service #47 | P527 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_047
Service #47 | DUPLICATE | P527 Boston South Station to Worcester 18:43 01:31
Service #48 | MT521EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_048
Service #48 | DUPLICATE | MT521EQ Worcester - Worcester Yard (Part 2) 18:47 00:04
Service #49 | P551 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_049
Service #49 | DUPLICATE | P551 Boston South Station to Worcester 19:33 01:11
Service #50 | P529 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_050
Service #50 | DUPLICATE | P529 Boston South Station to Worcester 19:43 01:31
Service #51 | MT525EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_051
Service #51 | DUPLICATE | MT525EQ Worcester - Worcester Yard (Part 2) 20:02 00:06
Service #52 | P531 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_052
Service #52 | DUPLICATE | P531 Boston South Station to Worcester 20:33 01:31
Service #53 | P533 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_053
Service #53 | DUPLICATE | P533 Boston South Station to Worcester 21:33 01:31
Service #54 | MT531EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_054
Service #54 | DUPLICATE | MT531EQ Worcester - Worcester Yard (Part 2) 22:26 00:06
Service #55 | P535 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_055
Service #55 | DUPLICATE | P535 Boston South Station to Worcester 22:28 01:31
Service #56 | P537 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_056
Service #56 | DUPLICATE | P537 Boston South Station to Worcester 23:28 01:31
